id,name,rfc,industry,size,website,phone,address,city,state,country,geo_lat,geo_lng,source,source_url,created_at,updated_at
42,Despacho Contable Santa Fe,,contabilidad,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
43,Solución de Facturación para Constructoras,,facturación,,,,,Monterrey,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
44,Consultoría en Sistemas Contables,,software,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
45,Outsourcing de Contabilidad General,,contabilidad,,,,,Guadalajara,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
46,Despacho de Gestión de Cobranza,,cobranza,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
47,Plataforma de Conciliación Automática,,fintech,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
48,Despacho Virtual de Asesoría Empresarial,,consultoría,,,,,León,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
49,Grupo Contable del Bajío,,contabilidad,,,,,Guanajuato,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
50,Contadores y Auditores del Golfo,,contabilidad,,,,,Veracruz,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
51,Solución Tecnológica para Despachos,,software,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
52,Despacho de Facturación Electrónica SA,,facturación,,,,,Puebla,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
53,Innovación en Procesos Fiscales MX,,facturación,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
54,Consultoría en Optimización Operativa,,consultoría,,,,,San Luis Potosí,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
55,Centro de Contabilidad Empresarial,,contabilidad,,,,,Querétaro,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
56,Despacho de Asesoría Fiscal en Línea,,contabilidad,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
57,Grupo de Servicios Administrativos MX,,administración,,,,,Toluca,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
58,Automatización de Procesos Financieros,,fintech,,,,,Monterrey,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
59,Despacho de Software Contable Integral,,software,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
60,Consultoría en Normativas Fiscales MX,,consultoría,,,,,Guadalajara,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
61,Despacho de Contabilidad para Startups,,contabilidad,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
62,Solución de Facturación Internacional MX,,facturación,,,,,Monterrey,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
63,Integración de Sistemas de Nómina,,rrhh,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
64,Grupo Financiero Contable del Centro,,financiero,,,,,Puebla,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
65,Despacho de Contabilidad en la Nube,,contabilidad,,,,,Guadalajara,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
66,Consultoría de Eficiencia Operacional,,consultoría,,,,,Monterrey,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
67,Red de Despachos Contables MX,,contabilidad,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
68,Facturación Digital para Comercios MX,,facturación,,,,,CDMX,,MX,,,seed_denue,,2026-06-12 09:03:37,2026-06-12 09:03:37
